,Impressions,Comments,Shares,Likes
0,3920,9,5,162
1,5394,7,14,224
2,4021,11,1,131
3,4528,10,7,213
4,2518,5,4,123
5,3884,7,10,144
6,2621,5,1,76
7,3541,4,9,124
8,3749,6,8,159
9,4115,6,3,191
10,2218,6,3,81
11,3234,8,14,151
12,4344,7,11,162
13,3216,5,5,142
14,9453,6,10,294
15,5055,7,11,159
17,3169,8,1,121
18,6168,6,6,151
19,2407,8,20,72
20,2064,4,5,76
21,3973,3,4,91
22,7281,7,9,195
23,3052,5,14,129
24,4628,8,3,160
25,4082,11,5,175
27,2766,10,4,114
28,3924,11,3,151
29,3015,11,4,92
30,6666,9,3,214
31,3854,11,15,150
32,4355,8,4,122
33,4343,6,3,152
34,6108,7,8,196
35,2523,6,0,86
36,2327,3,3,85
37,3990,4,11,156
38,2191,2,1,72
39,1941,6,3,82
41,4998,4,13,180
42,4289,8,4,150
43,3880,4,2,127
44,3786,9,5,167
45,4298,6,19,225
46,3630,4,10,137
47,2826,3,3,114
48,7407,5,15,263
50,2998,4,1,126
51,7018,9,16,236
52,2941,2,1,99
53,6432,11,8,212
55,3988,6,9,142
56,4978,9,2,186
57,3388,1,7,112
58,4467,3,16,149
59,3246,5,14,132
60,5072,7,6,115
61,6339,8,5,248
62,4239,2,1,178
63,3454,0,0,107
64,7571,7,12,269
65,3333,3,5,96
66,3818,6,0,134
68,5058,9,2,187
69,3601,0,3,94
70,3480,1,7,114
71,3525,5,0,96
72,3606,5,15,138
73,5542,7,6,122
74,6559,8,6,257
75,3623,3,0,95
76,10493,9,1,244
77,4446,6,11,190
78,2957,4,2,118
79,5538,6,6,178
80,4681,7,12,170
81,5273,9,22,250
82,5055,7,11,159
84,3169,8,1,121
85,6168,6,6,151
86,2407,8,20,72
87,3630,4,10,137
88,2826,3,3,114
89,7407,5,15,263
91,2998,4,1,126
92,3052,5,14,129
93,4628,8,3,160
94,4082,11,5,175
96,2766,10,4,114
97,3924,11,3,151
98,3015,11,4,92
99,5409,10,27,275
100,5323,6,13,192
101,8001,8,7,203
102,4150,4,2,145
103,4609,1,12,168
104,6348,4,15,194
106,7231,8,3,171
108,6814,8,22,249
110,5563,5,8,163
111,4842,6,4,86
113,10206,10,17,172
115,5731,4,1,148
116,4139,0,1,92
119,7018,9,16,236
120,3630,4,10,137
121,3525,5,0,96
122,7571,7,12,269
123,4082,11,5,175
124,3052,5,14,129
125,5394,7,14,224
126,6339,8,5,248
127,3920,9,5,162
128,7407,5,15,263
129,4298,6,19,225
132,3052,5,14,129
133,2998,4,1,126
134,2327,3,3,85
135,5072,7,6,115
137,4842,6,4,86
138,4289,8,4,150
139,4467,3,16,149
140,4998,4,13,180
141,5323,6,13,192
142,2064,4,5,76
144,6666,9,3,214
146,2826,3,3,114
148,6666,9,3,214
149,3924,11,3,151
150,6666,9,3,214
151,4139,0,1,92
152,4446,6,11,190
153,5055,7,11,159
154,3924,11,3,151
155,6168,6,6,151
156,4628,8,3,160
157,2218,6,3,81
158,6666,9,3,214
159,9453,6,10,294
160,6339,8,5,248
161,3601,0,3,94
162,10493,9,1,244
163,3234,8,14,151
164,2941,2,1,99
165,3623,3,0,95
166,4355,8,4,122
167,2941,2,1,99
168,2998,4,1,126
169,3973,3,4,91
171,5323,6,13,192
172,3541,4,9,124
174,4139,0,1,92
175,3630,4,10,137
176,3052,5,14,129
177,3880,4,2,127
178,10206,10,17,172
179,3246,5,14,132
180,3920,9,5,162
181,3854,11,15,150
182,6666,9,3,214
184,6168,6,6,151
185,5394,7,14,224
186,3234,8,14,151
187,3630,4,10,137
188,2766,10,4,114
189,2826,3,3,114
190,3630,4,10,137
191,5538,6,6,178
192,3169,8,1,121
193,3601,0,3,94
195,3015,11,4,92
196,3234,8,14,151
197,4344,7,11,162
198,3884,7,10,144
199,3988,6,9,142
200,2826,3,3,114
201,3606,5,15,138
202,6168,6,6,151
203,4021,11,1,131
204,4446,6,11,190
205,3246,5,14,132
206,4998,4,13,180
207,2621,5,1,76
208,2218,6,3,81
209,7231,8,3,171
210,2523,6,0,86
211,7018,9,16,236
213,6432,11,8,212
214,2826,3,3,114
215,4978,9,2,186
216,2064,4,5,76
217,3333,3,5,96
218,2766,10,4,114
219,4082,11,5,175
220,5273,9,22,250
221,6348,4,15,194
222,3606,5,15,138
223,7407,5,15,263
224,4021,11,1,131
225,3623,3,0,95
226,5542,7,6,122
227,3216,5,5,142
228,3454,0,0,107
229,2407,8,20,72
230,2957,4,2,118
231,4842,6,4,86
232,4467,3,16,149
233,4115,6,3,191
234,2621,5,1,76
235,5055,7,11,159
237,6168,6,6,151
238,7018,9,16,236
239,3630,4,10,137
240,3525,5,0,96
241,7571,7,12,269
242,4082,11,5,175
243,3052,5,14,129
244,5394,7,14,224
245,6339,8,5,248
246,3920,9,5,162
247,7407,5,15,263
248,4298,6,19,225
251,3052,5,14,129
252,2998,4,1,126
253,2327,3,3,85
254,5072,7,6,115
256,4842,6,4,86
257,4289,8,4,150
258,4467,3,16,149
259,4998,4,13,180
260,5323,6,13,192
261,2064,4,5,76
263,6666,9,3,214
265,2826,3,3,114
267,6666,9,3,214
268,3924,11,3,151
269,6666,9,3,214
270,4139,0,1,92
271,4446,6,11,190
272,5055,7,11,159
273,3924,11,3,151
274,6168,6,6,151
275,4628,8,3,160
276,2218,6,3,81
277,6666,9,3,214
278,9453,6,10,294
279,6339,8,5,248
280,3601,0,3,94
281,10493,9,1,244
282,3234,8,14,151
283,2941,2,1,99
284,3623,3,0,95
285,4355,8,4,122
286,2941,2,1,99
287,2998,4,1,126
288,3973,3,4,91
290,5323,6,13,192
291,3541,4,9,124
293,4139,0,1,92
294,3630,4,10,137
295,3052,5,14,129
296,3880,4,2,127
297,10206,10,17,172
298,3246,5,14,132
299,3920,9,5,162
300,3854,11,15,150
301,6666,9,3,214
303,6168,6,6,151
304,5394,7,14,224
305,3234,8,14,151
306,3630,4,10,137
307,2766,10,4,114
308,2826,3,3,114
309,3630,4,10,137
310,5538,6,6,178
311,3169,8,1,121
312,3601,0,3,94
314,3015,11,4,92
315,3234,8,14,151
316,4344,7,11,162
317,3884,7,10,144
318,3988,6,9,142
319,2826,3,3,114
320,3606,5,15,138
321,6168,6,6,151
322,4021,11,1,131
323,4446,6,11,190
324,3246,5,14,132
325,4998,4,13,180
326,2621,5,1,76
327,2218,6,3,81
328,7231,8,3,171
329,2523,6,0,86
330,7018,9,16,236
332,6432,11,8,212
333,2826,3,3,114
334,4978,9,2,186
335,2064,4,5,76
336,3333,3,5,96
337,2766,10,4,114
338,4082,11,5,175
339,5273,9,22,250
340,6348,4,15,194
341,3606,5,15,138
342,7407,5,15,263
343,4021,11,1,131
344,3623,3,0,95
345,5542,7,6,122
346,3216,5,5,142
347,3454,0,0,107
348,2407,8,20,72
349,2957,4,2,118
350,4842,6,4,86
351,4467,3,16,149
352,4115,6,3,191
353,2621,5,1,76
354,5055,7,11,159
356,6168,6,6,151
357,7018,9,16,236
358,3630,4,10,137
359,3525,5,0,96
360,7571,7,12,269
361,4082,11,5,175
362,3052,5,14,129
363,5394,7,14,224
364,6339,8,5,248
365,3920,9,5,162
366,7407,5,15,263
367,4298,6,19,225
370,3052,5,14,129
371,2998,4,1,126
372,2327,3,3,85
373,5072,7,6,115
375,4842,6,4,86
376,4289,8,4,150
377,4467,3,16,149
378,4998,4,13,180
379,5323,6,13,192
380,2064,4,5,76
382,6666,9,3,214
384,2826,3,3,114
386,6666,9,3,214
387,3924,11,3,151
388,6666,9,3,214
389,4139,0,1,92
390,4446,6,11,190
391,5055,7,11,159
392,3924,11,3,151
393,6168,6,6,151
394,4628,8,3,160
395,2218,6,3,81
396,6666,9,3,214
397,9453,6,10,294
398,6339,8,5,248
399,3601,0,3,94
400,10493,9,1,244
401,3234,8,14,151
402,2941,2,1,99
403,3623,3,0,95
404,4355,8,4,122
405,2941,2,1,99
406,2998,4,1,126
407,3973,3,4,91
409,5323,6,13,192
410,3541,4,9,124
412,4139,0,1,92
413,3630,4,10,137
414,3052,5,14,129
415,3880,4,2,127
416,10206,10,17,172
417,3246,5,14,132
418,3920,9,5,162
419,3854,11,15,150
420,6666,9,3,214
422,6168,6,6,151
423,5394,7,14,224
424,3234,8,14,151
425,3630,4,10,137
426,2766,10,4,114
427,2826,3,3,114
428,3630,4,10,137
429,5538,6,6,178
430,3169,8,1,121
431,3601,0,3,94
433,3015,11,4,92
434,3234,8,14,151
435,4344,7,11,162
436,3884,7,10,144
437,3988,6,9,142
438,2826,3,3,114
439,3606,5,15,138
440,6168,6,6,151
441,4021,11,1,131
442,4446,6,11,190
443,3246,5,14,132
444,4998,4,13,180
445,2621,5,1,76
446,2218,6,3,81
447,7231,8,3,171
448,2523,6,0,86
449,7018,9,16,236
451,6432,11,8,212
452,2826,3,3,114
453,4978,9,2,186
454,2064,4,5,76
455,3333,3,5,96
456,2766,10,4,114
457,4082,11,5,175
458,5273,9,22,250
459,6348,4,15,194
460,3606,5,15,138
461,7407,5,15,263
462,4021,11,1,131
463,3623,3,0,95
464,5542,7,6,122
465,3216,5,5,142
466,3454,0,0,107
467,2407,8,20,72
468,2957,4,2,118
469,4842,6,4,86
470,4467,3,16,149
471,4115,6,3,191
472,2621,5,1,76
473,5055,7,11,159
475,6168,6,6,151
476,7018,9,16,236
477,3630,4,10,137
478,3525,5,0,96
479,7571,7,12,269
480,4082,11,5,175
481,3052,5,14,129
482,5394,7,14,224
483,6339,8,5,248
484,3920,9,5,162
485,7407,5,15,263
486,4298,6,19,225
489,3052,5,14,129
490,2998,4,1,126
491,2327,3,3,85
492,5072,7,6,115
494,4842,6,4,86
495,4289,8,4,150
496,4467,3,16,149
497,4998,4,13,180
498,5323,6,13,192
499,2064,4,5,76
501,6666,9,3,214
503,2826,3,3,114
505,6666,9,3,214
506,3924,11,3,151
507,6666,9,3,214
508,4139,0,1,92
509,4446,6,11,190
510,5055,7,11,159
511,3924,11,3,151
512,6168,6,6,151
513,4628,8,3,160
514,2218,6,3,81
515,6666,9,3,214
516,9453,6,10,294
517,6339,8,5,248
518,3601,0,3,94
519,10493,9,1,244
520,3234,8,14,151
521,2941,2,1,99
522,3623,3,0,95
523,4355,8,4,122
524,2941,2,1,99
525,2998,4,1,126
526,3973,3,4,91
528,5323,6,13,192
529,3541,4,9,124
531,4139,0,1,92
532,3630,4,10,137
533,3052,5,14,129
534,3880,4,2,127
535,10206,10,17,172
536,3246,5,14,132
537,3920,9,5,162
538,3854,11,15,150
539,6666,9,3,214
541,6168,6,6,151
542,5394,7,14,224
543,3234,8,14,151
544,3630,4,10,137
545,2766,10,4,114
546,2826,3,3,114
547,3630,4,10,137
548,5538,6,6,178
549,3169,8,1,121
550,3601,0,3,94
552,3015,11,4,92
553,3234,8,14,151
554,4344,7,11,162
555,3884,7,10,144
556,3988,6,9,142
557,2826,3,3,114
558,3606,5,15,138
559,6168,6,6,151
560,4021,11,1,131
561,4446,6,11,190
562,3246,5,14,132
563,4998,4,13,180
564,2621,5,1,76
565,2218,6,3,81
566,7231,8,3,171
567,2523,6,0,86
568,7018,9,16,236
570,6432,11,8,212
571,2826,3,3,114
572,4978,9,2,186
573,2064,4,5,76
574,3333,3,5,96
575,2766,10,4,114
576,4082,11,5,175
577,5273,9,22,250
578,6348,4,15,194
579,3606,5,15,138
580,7407,5,15,263
581,4021,11,1,131
582,3623,3,0,95
583,5542,7,6,122
584,3216,5,5,142
585,3454,0,0,107
586,2407,8,20,72
587,2957,4,2,118
588,4842,6,4,86
589,4467,3,16,149
590,4115,6,3,191
591,2621,5,1,76
592,5055,7,11,159
594,6168,6,6,151
595,7018,9,16,236
596,3630,4,10,137
597,3525,5,0,96
598,7571,7,12,269
599,4082,11,5,175
600,3052,5,14,129
601,5394,7,14,224
602,6339,8,5,248
603,3920,9,5,162
604,7407,5,15,263
605,4298,6,19,225
608,3052,5,14,129
609,2998,4,1,126
610,2327,3,3,85
611,5072,7,6,115
613,4842,6,4,86
614,4289,8,4,150
615,4467,3,16,149
616,4998,4,13,180
617,5323,6,13,192
618,2064,4,5,76
620,6666,9,3,214
622,2826,3,3,114
624,6666,9,3,214
625,3924,11,3,151
626,6666,9,3,214
627,4139,0,1,92
628,4446,6,11,190
629,5055,7,11,159
630,3924,11,3,151
631,6168,6,6,151
632,4628,8,3,160
633,2218,6,3,81
634,6666,9,3,214
635,9453,6,10,294
636,6339,8,5,248
637,3601,0,3,94
638,10493,9,1,244
639,3234,8,14,151
640,2941,2,1,99
641,3623,3,0,95
642,4355,8,4,122
643,2941,2,1,99
644,2998,4,1,126
645,3973,3,4,91
647,5323,6,13,192
648,3541,4,9,124
650,4139,0,1,92
651,3630,4,10,137
652,3052,5,14,129
653,3880,4,2,127
654,10206,10,17,172
655,3246,5,14,132
656,3920,9,5,162
657,3854,11,15,150
658,6666,9,3,214
660,6168,6,6,151
661,5394,7,14,224
662,3234,8,14,151
663,3630,4,10,137
664,2766,10,4,114
665,2826,3,3,114
666,3630,4,10,137
667,5538,6,6,178
668,3169,8,1,121
669,3601,0,3,94
671,3015,11,4,92
672,3234,8,14,151
673,4344,7,11,162
674,3884,7,10,144
675,3988,6,9,142
676,2826,3,3,114
677,3606,5,15,138
678,6168,6,6,151
679,4021,11,1,131
680,4446,6,11,190
681,3246,5,14,132
682,4998,4,13,180
683,2621,5,1,76
684,2218,6,3,81
685,7231,8,3,171
686,2523,6,0,86
687,7018,9,16,236
689,6432,11,8,212
690,2826,3,3,114
691,4978,9,2,186
692,2064,4,5,76
693,3333,3,5,96
694,2766,10,4,114
695,4082,11,5,175
696,5273,9,22,250
697,6348,4,15,194
698,3606,5,15,138
699,7407,5,15,263
700,4021,11,1,131
701,3623,3,0,95
702,5542,7,6,122
703,3216,5,5,142
704,3454,0,0,107
705,2407,8,20,72
706,2957,4,2,118
707,4842,6,4,86
708,4467,3,16,149
709,4115,6,3,191
710,2621,5,1,76
711,5055,7,11,159
713,6168,6,6,151
714,7018,9,16,236
715,3630,4,10,137
716,3525,5,0,96
717,7571,7,12,269
718,4082,11,5,175
719,3052,5,14,129
720,5394,7,14,224
721,6339,8,5,248
722,3920,9,5,162
723,7407,5,15,263
724,4298,6,19,225
727,3052,5,14,129
728,2998,4,1,126
729,2327,3,3,85
730,5072,7,6,115
732,4842,6,4,86
733,4289,8,4,150
734,4467,3,16,149
735,4998,4,13,180
736,5323,6,13,192
737,2064,4,5,76
739,6666,9,3,214
741,2826,3,3,114
743,6666,9,3,214
744,3924,11,3,151
745,6666,9,3,214
746,4139,0,1,92
747,4446,6,11,190
748,5055,7,11,159
749,3924,11,3,151
750,6168,6,6,151
751,4628,8,3,160
752,2218,6,3,81
753,6666,9,3,214
754,9453,6,10,294
755,6339,8,5,248
756,3601,0,3,94
757,10493,9,1,244
758,3234,8,14,151
759,2941,2,1,99
760,3623,3,0,95
761,4355,8,4,122
762,2941,2,1,99
763,2998,4,1,126
764,3973,3,4,91
766,5323,6,13,192
767,3541,4,9,124
769,4139,0,1,92
770,3630,4,10,137
771,3052,5,14,129
772,3880,4,2,127
773,10206,10,17,172
774,3246,5,14,132
775,3920,9,5,162
776,3854,11,15,150
777,6666,9,3,214
779,6168,6,6,151
780,5394,7,14,224
781,3234,8,14,151
782,3630,4,10,137
783,2766,10,4,114
784,2826,3,3,114
785,3630,4,10,137
786,5538,6,6,178
787,3169,8,1,121
788,3601,0,3,94
790,3015,11,4,92
791,3234,8,14,151
792,4344,7,11,162
793,3884,7,10,144
794,3988,6,9,142
795,2826,3,3,114
796,3606,5,15,138
797,6168,6,6,151
798,4021,11,1,131
799,4446,6,11,190
800,3246,5,14,132
801,4998,4,13,180
802,2621,5,1,76
803,2218,6,3,81
804,7231,8,3,171
805,2523,6,0,86
806,7018,9,16,236
808,6432,11,8,212
809,2826,3,3,114
810,4978,9,2,186
811,2064,4,5,76
812,3333,3,5,96
813,2766,10,4,114
814,4082,11,5,175
815,5273,9,22,250
816,6348,4,15,194
817,3606,5,15,138
818,7407,5,15,263
819,4021,11,1,131
820,3623,3,0,95
821,5542,7,6,122
822,3216,5,5,142
823,3454,0,0,107
824,2407,8,20,72
825,2957,4,2,118
826,4842,6,4,86
827,4467,3,16,149
828,4115,6,3,191
829,2621,5,1,76
830,5055,7,11,159
832,6168,6,6,151
833,7018,9,16,236
834,3630,4,10,137
835,3525,5,0,96
836,7571,7,12,269
837,4082,11,5,175
838,3052,5,14,129
839,5394,7,14,224
840,6339,8,5,248
841,3920,9,5,162
842,7407,5,15,263
843,4298,6,19,225
846,3052,5,14,129
847,2998,4,1,126
848,2327,3,3,85
849,5072,7,6,115
851,4842,6,4,86
852,4289,8,4,150
853,4467,3,16,149
854,4998,4,13,180
855,5323,6,13,192
856,2064,4,5,76
858,6666,9,3,214
860,2826,3,3,114
862,6666,9,3,214
863,3924,11,3,151
864,6666,9,3,214
865,4139,0,1,92
866,4446,6,11,190
867,5055,7,11,159
868,3924,11,3,151
869,6168,6,6,151
870,4628,8,3,160
871,2218,6,3,81
872,6666,9,3,214
873,9453,6,10,294
874,6339,8,5,248
875,3601,0,3,94
876,10493,9,1,244
877,3234,8,14,151
878,2941,2,1,99
879,3623,3,0,95
880,4355,8,4,122
881,2941,2,1,99
882,2998,4,1,126
883,3973,3,4,91
885,5323,6,13,192
886,3541,4,9,124
888,4139,0,1,92
889,3630,4,10,137
890,3052,5,14,129
891,3880,4,2,127
892,10206,10,17,172
893,3246,5,14,132
894,3920,9,5,162
895,3854,11,15,150
896,6666,9,3,214
898,6168,6,6,151
899,5394,7,14,224
900,3234,8,14,151
901,3630,4,10,137
902,2766,10,4,114
903,2826,3,3,114
904,3630,4,10,137
905,5538,6,6,178
906,3169,8,1,121
907,3601,0,3,94
909,3015,11,4,92
910,3234,8,14,151
911,4344,7,11,162
912,3884,7,10,144
913,3988,6,9,142
914,2826,3,3,114
915,3606,5,15,138
916,6168,6,6,151
917,4021,11,1,131
918,4446,6,11,190
919,3246,5,14,132
920,4998,4,13,180
921,2621,5,1,76
922,2218,6,3,81
923,7231,8,3,171
924,2523,6,0,86
925,7018,9,16,236
927,6432,11,8,212
928,2826,3,3,114
929,4978,9,2,186
930,2064,4,5,76
931,3333,3,5,96
932,2766,10,4,114
933,4082,11,5,175
934,5273,9,22,250
935,6348,4,15,194
936,3606,5,15,138
937,7407,5,15,263
938,4021,11,1,131
939,3623,3,0,95
940,5542,7,6,122
941,3216,5,5,142
942,3454,0,0,107
943,2407,8,20,72
944,2957,4,2,118
945,4842,6,4,86
946,4467,3,16,149
947,4115,6,3,191
948,2621,5,1,76
949,5055,7,11,159
951,6168,6,6,151
952,7018,9,16,236
953,3630,4,10,137
954,3525,5,0,96
955,7571,7,12,269
956,4082,11,5,175
957,3052,5,14,129
958,5394,7,14,224
959,6339,8,5,248
960,3920,9,5,162
961,7407,5,15,263
962,4298,6,19,225
965,3052,5,14,129
966,2998,4,1,126
967,2327,3,3,85
968,5072,7,6,115
970,4842,6,4,86
971,4289,8,4,150
972,4467,3,16,149
973,4998,4,13,180
974,5323,6,13,192
975,2064,4,5,76
977,6666,9,3,214
979,2826,3,3,114
981,6666,9,3,214
982,3924,11,3,151
983,6666,9,3,214
984,4139,0,1,92
985,4446,6,11,190
986,5055,7,11,159
987,3924,11,3,151
988,6168,6,6,151
989,4628,8,3,160
990,2218,6,3,81
991,6666,9,3,214
992,9453,6,10,294
993,6339,8,5,248
994,3601,0,3,94
995,10493,9,1,244
996,3234,8,14,151
997,2941,2,1,99
998,3623,3,0,95
999,4355,8,4,122
1000,2941,2,1,99
1001,2998,4,1,126
1002,3973,3,4,91
1004,5323,6,13,192
1005,3541,4,9,124
1007,4139,0,1,92
1008,3630,4,10,137
1009,3052,5,14,129
1010,3880,4,2,127
1011,10206,10,17,172
1012,3246,5,14,132
1013,3920,9,5,162
1014,3854,11,15,150
1015,6666,9,3,214
1017,6168,6,6,151
1018,5394,7,14,224
1019,3234,8,14,151
1020,3630,4,10,137
1021,2766,10,4,114
1022,2826,3,3,114
1023,3630,4,10,137
1024,5538,6,6,178
1025,3169,8,1,121
1026,3601,0,3,94
1028,3015,11,4,92
1029,3234,8,14,151
1030,4344,7,11,162
1031,3884,7,10,144
1032,3988,6,9,142
1033,2826,3,3,114
1034,3606,5,15,138
1035,6168,6,6,151
1036,4021,11,1,131
1037,4446,6,11,190
1038,3246,5,14,132
1039,4998,4,13,180
1040,2621,5,1,76
1041,2218,6,3,81
1042,7231,8,3,171
1043,2523,6,0,86
1044,7018,9,16,236
1046,6432,11,8,212
1047,2826,3,3,114
1048,4978,9,2,186
1049,2064,4,5,76
1050,3333,3,5,96
1051,2766,10,4,114
1052,4082,11,5,175
1053,5273,9,22,250
1054,6348,4,15,194
1055,3606,5,15,138
1056,7407,5,15,263
1057,4021,11,1,131
1058,3623,3,0,95
1059,5542,7,6,122
1060,3216,5,5,142
1061,3454,0,0,107
1062,2407,8,20,72
1063,2957,4,2,118
1064,4842,6,4,86
1065,4467,3,16,149
1066,4115,6,3,191
1067,2621,5,1,76
1068,5055,7,11,159
1070,6168,6,6,151
1071,7018,9,16,236
1072,3630,4,10,137
1073,3525,5,0,96
1074,7571,7,12,269
1075,4082,11,5,175
1076,3052,5,14,129
1077,5394,7,14,224
1078,6339,8,5,248
1079,3920,9,5,162
1080,7407,5,15,263
1081,4298,6,19,225
1084,3052,5,14,129
1085,2998,4,1,126
1086,2327,3,3,85
1087,5072,7,6,115
1089,4842,6,4,86
1090,4289,8,4,150
1091,4467,3,16,149
1092,4998,4,13,180
1093,5323,6,13,192
1094,2064,4,5,76
1096,6666,9,3,214
1098,2826,3,3,114
1100,6666,9,3,214
1101,3924,11,3,151
1102,6666,9,3,214
1103,4139,0,1,92
1104,4446,6,11,190
1105,5055,7,11,159
1106,3924,11,3,151
1107,6168,6,6,151
1108,4628,8,3,160
1109,2218,6,3,81
1110,6666,9,3,214
1111,9453,6,10,294
1112,6339,8,5,248
1113,3601,0,3,94
1114,10493,9,1,244
1115,3234,8,14,151
1116,2941,2,1,99
1117,3623,3,0,95
1118,4355,8,4,122
1119,2941,2,1,99
1120,2998,4,1,126
1121,3973,3,4,91
1123,5323,6,13,192
1124,3541,4,9,124
1126,4139,0,1,92
1127,3630,4,10,137
1128,3052,5,14,129
1129,3880,4,2,127
1130,10206,10,17,172
1131,3246,5,14,132
1132,3920,9,5,162
1133,3854,11,15,150
1134,6666,9,3,214
1136,6168,6,6,151
1137,5394,7,14,224
1138,3234,8,14,151
1139,3630,4,10,137
1140,2766,10,4,114
1141,2826,3,3,114
1142,3630,4,10,137
1143,5538,6,6,178
1144,3169,8,1,121
1145,3601,0,3,94
1147,3015,11,4,92
1148,3234,8,14,151
1149,4344,7,11,162
1150,3884,7,10,144
1151,3988,6,9,142
1152,2826,3,3,114
1153,3606,5,15,138
1154,6168,6,6,151
1155,4021,11,1,131
1156,4446,6,11,190
1157,3246,5,14,132
1158,4998,4,13,180
1159,2621,5,1,76
1160,2218,6,3,81
1161,7231,8,3,171
1162,2523,6,0,86
1163,7018,9,16,236
1165,6432,11,8,212
1166,2826,3,3,114
1167,4978,9,2,186
1168,2064,4,5,76
1169,3333,3,5,96
1170,2766,10,4,114
1171,4082,11,5,175
1172,5273,9,22,250
1173,6348,4,15,194
1174,3606,5,15,138
1175,7407,5,15,263
1176,4021,11,1,131
1177,3623,3,0,95
1178,5542,7,6,122
1179,3216,5,5,142
1180,3454,0,0,107
1181,2407,8,20,72
1182,2957,4,2,118
1183,4842,6,4,86
1184,4467,3,16,149
1185,4115,6,3,191
1186,2621,5,1,76
1187,5055,7,11,159
1189,6168,6,6,151
1190,7018,9,16,236
1191,3630,4,10,137
1192,3525,5,0,96
1193,7571,7,12,269
1194,4082,11,5,175
1195,3052,5,14,129
1196,5394,7,14,224
1197,6339,8,5,248
1198,3920,9,5,162
1199,7407,5,15,263
1200,4298,6,19,225
1203,3052,5,14,129
1204,2998,4,1,126
1205,2327,3,3,85
1206,5072,7,6,115
1208,4842,6,4,86
1209,4289,8,4,150
1210,4467,3,16,149
1211,4998,4,13,180
1212,5323,6,13,192
1213,2064,4,5,76
1215,6666,9,3,214
1217,2826,3,3,114
1219,6666,9,3,214
1220,3924,11,3,151
1221,6666,9,3,214
1222,4139,0,1,92
1223,4446,6,11,190
1224,5055,7,11,159
1225,3924,11,3,151
1226,6168,6,6,151
1227,4628,8,3,160
1228,2218,6,3,81
1229,6666,9,3,214
1230,9453,6,10,294
1231,6339,8,5,248
1232,3601,0,3,94
1233,10493,9,1,244
1234,3234,8,14,151
1235,2941,2,1,99
1236,3623,3,0,95
1237,4355,8,4,122
1238,2941,2,1,99
1239,2998,4,1,126
1240,3973,3,4,91
1242,5323,6,13,192
1243,3541,4,9,124
1245,4139,0,1,92
1246,3630,4,10,137
1247,3052,5,14,129
1248,3880,4,2,127
1249,10206,10,17,172
1250,3246,5,14,132
1251,3920,9,5,162
1252,3854,11,15,150
1253,6666,9,3,214
1255,6168,6,6,151
1256,5394,7,14,224
1257,3234,8,14,151
1258,3630,4,10,137
1259,2766,10,4,114
1260,2826,3,3,114
1261,3630,4,10,137
1262,5538,6,6,178
1263,3169,8,1,121
1264,3601,0,3,94
1266,3015,11,4,92
1267,3234,8,14,151
1268,4344,7,11,162
1269,3884,7,10,144
1270,3988,6,9,142
1271,2826,3,3,114
1272,3606,5,15,138
1273,6168,6,6,151
1274,4021,11,1,131
1275,4446,6,11,190
1276,3246,5,14,132
1277,4998,4,13,180
1278,2621,5,1,76
1279,2218,6,3,81
