,Impressions,Comments,Shares,Likes
1280,7231,8,3,171
1281,2523,6,0,86
1282,7018,9,16,236
1284,6432,11,8,212
1285,2826,3,3,114
1286,4978,9,2,186
1287,2064,4,5,76
1288,3333,3,5,96
1289,2766,10,4,114
1290,4082,11,5,175
1291,5273,9,22,250
1292,6348,4,15,194
1293,3606,5,15,138
1294,7407,5,15,263
1295,4021,11,1,131
1296,3623,3,0,95
1297,5542,7,6,122
1298,3216,5,5,142
1299,3454,0,0,107
1300,2407,8,20,72
1301,2957,4,2,118
1302,4842,6,4,86
1303,4467,3,16,149
1304,4115,6,3,191
1305,2621,5,1,76
1306,5055,7,11,159
1308,6168,6,6,151
1309,7018,9,16,236
1310,3630,4,10,137
1311,3525,5,0,96
1312,7571,7,12,269
1313,4082,11,5,175
1314,3052,5,14,129
1315,5394,7,14,224
1316,6339,8,5,248
1317,3920,9,5,162
1318,7407,5,15,263
1319,4298,6,19,225
1322,3052,5,14,129
1323,2998,4,1,126
1324,2327,3,3,85
1325,5072,7,6,115
1327,4842,6,4,86
1328,4289,8,4,150
1329,4467,3,16,149
1330,4998,4,13,180
1331,5323,6,13,192
1332,2064,4,5,76
1334,6666,9,3,214
1336,2826,3,3,114
1338,6666,9,3,214
1339,3924,11,3,151
1340,6666,9,3,214
1341,4139,0,1,92
1342,4446,6,11,190
1343,5055,7,11,159
1344,3924,11,3,151
1345,6168,6,6,151
1346,4628,8,3,160
1347,2218,6,3,81
1348,6666,9,3,214
1349,9453,6,10,294
1350,6339,8,5,248
1351,3601,0,3,94
1352,10493,9,1,244
1353,3234,8,14,151
1354,2941,2,1,99
1355,3623,3,0,95
1356,4355,8,4,122
1357,2941,2,1,99
1358,2998,4,1,126
1359,3973,3,4,91
1361,5323,6,13,192
1362,3541,4,9,124
1364,4139,0,1,92
1365,3630,4,10,137
1366,3052,5,14,129
1367,3880,4,2,127
1368,10206,10,17,172
1369,3246,5,14,132
1370,3920,9,5,162
1371,3854,11,15,150
1372,6666,9,3,214
1374,6168,6,6,151
1375,5394,7,14,224
1376,3234,8,14,151
1377,3630,4,10,137
1378,2766,10,4,114
1379,2826,3,3,114
1380,3630,4,10,137
1381,5538,6,6,178
1382,3169,8,1,121
1383,3601,0,3,94
1385,3015,11,4,92
1386,3234,8,14,151
1387,4344,7,11,162
1388,3884,7,10,144
1389,3988,6,9,142
1390,2826,3,3,114
1391,3606,5,15,138
1392,6168,6,6,151
1393,4021,11,1,131
1394,4446,6,11,190
1395,3246,5,14,132
1396,4998,4,13,180
1397,2621,5,1,76
1398,2218,6,3,81
1399,7231,8,3,171
1400,2523,6,0,86
1401,7018,9,16,236
1403,6432,11,8,212
1404,2826,3,3,114
1405,4978,9,2,186
1406,2064,4,5,76
1407,3333,3,5,96
1408,2766,10,4,114
1409,4082,11,5,175
1410,5273,9,22,250
1411,6348,4,15,194
1412,3606,5,15,138
1413,7407,5,15,263
1414,4021,11,1,131
1415,3623,3,0,95
1416,5542,7,6,122
1417,3216,5,5,142
1418,3454,0,0,107
1419,2407,8,20,72
1420,2957,4,2,118
1421,4842,6,4,86
1422,4467,3,16,149
1423,4115,6,3,191
1424,2621,5,1,76
1425,5055,7,11,159
1427,6168,6,6,151
1428,7018,9,16,236
1429,3630,4,10,137
1430,3525,5,0,96
1431,7571,7,12,269
1432,4082,11,5,175
1433,3052,5,14,129
1434,5394,7,14,224
1435,6339,8,5,248
1436,3920,9,5,162
1437,7407,5,15,263
1438,4298,6,19,225
1441,3052,5,14,129
1442,2998,4,1,126
1443,2327,3,3,85
1444,5072,7,6,115
1446,4842,6,4,86
1447,4289,8,4,150
1448,4467,3,16,149
1449,4998,4,13,180
1450,5323,6,13,192
1451,2064,4,5,76
1453,6666,9,3,214
1455,2826,3,3,114
1457,6666,9,3,214
1458,3924,11,3,151
1459,6666,9,3,214
1460,4139,0,1,92
1461,4446,6,11,190
1462,5055,7,11,159
1463,3924,11,3,151
1464,6168,6,6,151
1465,4628,8,3,160
1466,2218,6,3,81
1467,6666,9,3,214
1468,9453,6,10,294
1469,6339,8,5,248
1470,3601,0,3,94
1471,10493,9,1,244
1472,3234,8,14,151
1473,2941,2,1,99
1474,3623,3,0,95
1475,4355,8,4,122
1476,2941,2,1,99
1477,2998,4,1,126
1478,3973,3,4,91
1480,5323,6,13,192
1481,3541,4,9,124
1483,4139,0,1,92
1484,3630,4,10,137
1485,3052,5,14,129
1486,3880,4,2,127
1487,10206,10,17,172
1488,3246,5,14,132
1489,3920,9,5,162
1490,3854,11,15,150
1491,6666,9,3,214
1493,6168,6,6,151
1494,5394,7,14,224
1495,3234,8,14,151
1496,3630,4,10,137
1497,2766,10,4,114
1498,2826,3,3,114
1499,3630,4,10,137
1500,5538,6,6,178
1501,3169,8,1,121
1502,3601,0,3,94
1504,3015,11,4,92
1505,3234,8,14,151
1506,4344,7,11,162
1507,3884,7,10,144
1508,3988,6,9,142
1509,2826,3,3,114
1510,3606,5,15,138
1511,6168,6,6,151
1512,4021,11,1,131
1513,4446,6,11,190
1514,3246,5,14,132
1515,4998,4,13,180
1516,2621,5,1,76
1517,2218,6,3,81
1518,7231,8,3,171
1519,2523,6,0,86
1520,7018,9,16,236
1522,6432,11,8,212
1523,2826,3,3,114
1524,4978,9,2,186
1525,2064,4,5,76
1526,3333,3,5,96
1527,2766,10,4,114
1528,4082,11,5,175
1529,5273,9,22,250
1530,6348,4,15,194
1531,3606,5,15,138
1532,7407,5,15,263
1533,4021,11,1,131
1534,3623,3,0,95
1535,5542,7,6,122
1536,3216,5,5,142
1537,3454,0,0,107
1538,2407,8,20,72
1539,2957,4,2,118
1540,4842,6,4,86
1541,4467,3,16,149
1542,4115,6,3,191
1543,2621,5,1,76
1544,5055,7,11,159
1546,6168,6,6,151
1547,7018,9,16,236
1548,3630,4,10,137
1549,3525,5,0,96
1550,7571,7,12,269
1551,4082,11,5,175
1552,3052,5,14,129
1553,5394,7,14,224
1554,6339,8,5,248
1555,3920,9,5,162
1556,7407,5,15,263
1557,4298,6,19,225
1560,3052,5,14,129
1561,2998,4,1,126
1562,2327,3,3,85
1563,5072,7,6,115
1565,4842,6,4,86
1566,4289,8,4,150
1567,4467,3,16,149
1568,4998,4,13,180
1569,5323,6,13,192
1570,2064,4,5,76
1572,6666,9,3,214
1574,2826,3,3,114
1576,6666,9,3,214
1577,3924,11,3,151
1578,6666,9,3,214
1579,4139,0,1,92
1580,4446,6,11,190
1581,5055,7,11,159
1582,3924,11,3,151
1583,6168,6,6,151
1584,4628,8,3,160
1585,2218,6,3,81
1586,6666,9,3,214
1587,9453,6,10,294
1588,6339,8,5,248
1589,3601,0,3,94
1590,10493,9,1,244
1591,3234,8,14,151
1592,2941,2,1,99
1593,3623,3,0,95
1594,4355,8,4,122
1595,2941,2,1,99
1596,2998,4,1,126
1597,3973,3,4,91
1599,5323,6,13,192
1600,3541,4,9,124
1602,4139,0,1,92
1603,3630,4,10,137
1604,3052,5,14,129
1605,3880,4,2,127
1606,10206,10,17,172
1607,3246,5,14,132
1608,3920,9,5,162
1609,3854,11,15,150
1610,6666,9,3,214
1612,6168,6,6,151
1613,5394,7,14,224
1614,3234,8,14,151
1615,3630,4,10,137
1616,2766,10,4,114
1617,2826,3,3,114
1618,3630,4,10,137
1619,5538,6,6,178
1620,3169,8,1,121
1621,3601,0,3,94
1623,3015,11,4,92
1624,3234,8,14,151
1625,4344,7,11,162
1626,3884,7,10,144
1627,3988,6,9,142
1628,2826,3,3,114
1629,3606,5,15,138
1630,6168,6,6,151
1631,4021,11,1,131
1632,4446,6,11,190
1633,3246,5,14,132
1634,4998,4,13,180
1635,2621,5,1,76
1636,2218,6,3,81
1637,7231,8,3,171
1638,2523,6,0,86
1639,7018,9,16,236
1641,6432,11,8,212
1642,2826,3,3,114
1643,4978,9,2,186
1644,2064,4,5,76
1645,3333,3,5,96
1646,2766,10,4,114
1647,4082,11,5,175
1648,5273,9,22,250
1649,6348,4,15,194
1650,3606,5,15,138
1651,7407,5,15,263
1652,4021,11,1,131
1653,3623,3,0,95
1654,5542,7,6,122
1655,3216,5,5,142
1656,3454,0,0,107
1657,2407,8,20,72
1658,2957,4,2,118
1659,4842,6,4,86
1660,4467,3,16,149
1661,4115,6,3,191
1662,2621,5,1,76
1663,5055,7,11,159
1665,6168,6,6,151
1666,7018,9,16,236
1667,3630,4,10,137
1668,3525,5,0,96
1669,7571,7,12,269
1670,4082,11,5,175
1671,3052,5,14,129
1672,5394,7,14,224
1673,6339,8,5,248
1674,3920,9,5,162
1675,7407,5,15,263
1676,4298,6,19,225
1679,3052,5,14,129
1680,2998,4,1,126
1681,2327,3,3,85
1682,5072,7,6,115
1684,4842,6,4,86
1685,4289,8,4,150
1686,4467,3,16,149
1687,4998,4,13,180
1688,5323,6,13,192
1689,2064,4,5,76
1691,6666,9,3,214
1693,2826,3,3,114
1695,6666,9,3,214
1696,3924,11,3,151
1697,6666,9,3,214
1698,4139,0,1,92
1699,4446,6,11,190
1700,5055,7,11,159
1701,3924,11,3,151
1702,6168,6,6,151
1703,4628,8,3,160
1704,2218,6,3,81
1705,6666,9,3,214
1706,9453,6,10,294
1707,6339,8,5,248
1708,3601,0,3,94
1709,10493,9,1,244
1710,3234,8,14,151
1711,2941,2,1,99
1712,3623,3,0,95
1713,4355,8,4,122
1714,2941,2,1,99
1715,2998,4,1,126
1716,3973,3,4,91
1718,5323,6,13,192
1719,3541,4,9,124
1721,4139,0,1,92
1722,3630,4,10,137
1723,3052,5,14,129
1724,3880,4,2,127
1725,10206,10,17,172
1726,3246,5,14,132
1727,3920,9,5,162
1728,3854,11,15,150
1729,6666,9,3,214
1731,6168,6,6,151
1732,5394,7,14,224
1733,3234,8,14,151
1734,3630,4,10,137
1735,2766,10,4,114
1736,2826,3,3,114
1737,3630,4,10,137
1738,5538,6,6,178
1739,3169,8,1,121
1740,3601,0,3,94
1742,3015,11,4,92
1743,3234,8,14,151
1744,4344,7,11,162
1745,3884,7,10,144
1746,3988,6,9,142
1747,2826,3,3,114
1748,3606,5,15,138
1749,6168,6,6,151
1750,4021,11,1,131
1751,4446,6,11,190
1752,3246,5,14,132
1753,4998,4,13,180
1754,2621,5,1,76
1755,2218,6,3,81
1756,7231,8,3,171
1757,2523,6,0,86
1758,7018,9,16,236
1760,6432,11,8,212
1761,2826,3,3,114
1762,4978,9,2,186
1763,2064,4,5,76
1764,3333,3,5,96
1765,2766,10,4,114
1766,4082,11,5,175
1767,5273,9,22,250
1768,6348,4,15,194
1769,3606,5,15,138
1770,7407,5,15,263
1771,4021,11,1,131
1772,3623,3,0,95
1773,5542,7,6,122
1774,3216,5,5,142
1775,3454,0,0,107
1776,2407,8,20,72
1777,2957,4,2,118
1778,4842,6,4,86
1779,4467,3,16,149
1780,4115,6,3,191
1781,2621,5,1,76
1782,5055,7,11,159
1784,6168,6,6,151
1785,7018,9,16,236
1786,3630,4,10,137
1787,3525,5,0,96
1788,7571,7,12,269
1789,4082,11,5,175
1790,3052,5,14,129
1791,5394,7,14,224
1792,6339,8,5,248
1793,3920,9,5,162
1794,7407,5,15,263
1795,4298,6,19,225
1798,3052,5,14,129
1799,2998,4,1,126
1800,2327,3,3,85
1801,5072,7,6,115
1803,4842,6,4,86
1804,4289,8,4,150
1805,4467,3,16,149
1806,4998,4,13,180
1807,5323,6,13,192
1808,2064,4,5,76
1810,6666,9,3,214
1812,2826,3,3,114
1814,6666,9,3,214
1815,3924,11,3,151
1816,6666,9,3,214
1817,4139,0,1,92
1818,4446,6,11,190
1819,5055,7,11,159
1820,3924,11,3,151
1821,6168,6,6,151
1822,4628,8,3,160
1823,2218,6,3,81
1824,6666,9,3,214
1825,9453,6,10,294
1826,6339,8,5,248
1827,3601,0,3,94
1828,10493,9,1,244
1829,3234,8,14,151
1830,2941,2,1,99
1831,3623,3,0,95
1832,4355,8,4,122
1833,2941,2,1,99
1834,2998,4,1,126
1835,3973,3,4,91
1837,5323,6,13,192
1838,3541,4,9,124
1840,4139,0,1,92
1841,3630,4,10,137
1842,3052,5,14,129
1843,3880,4,2,127
1844,10206,10,17,172
1845,3246,5,14,132
1846,3920,9,5,162
1847,3854,11,15,150
1848,6666,9,3,214
1850,6168,6,6,151
1851,5394,7,14,224
1852,3234,8,14,151
1853,3630,4,10,137
1854,2766,10,4,114
1855,2826,3,3,114
1856,3630,4,10,137
1857,5538,6,6,178
1858,3169,8,1,121
1859,3601,0,3,94
1861,3015,11,4,92
1862,3234,8,14,151
1863,4344,7,11,162
1864,3884,7,10,144
1865,3988,6,9,142
1866,2826,3,3,114
1867,3606,5,15,138
1868,6168,6,6,151
1869,4021,11,1,131
1870,4446,6,11,190
1871,3246,5,14,132
1872,4998,4,13,180
1873,2621,5,1,76
1874,2218,6,3,81
1875,7231,8,3,171
1876,2523,6,0,86
1877,7018,9,16,236
1879,6432,11,8,212
1880,2826,3,3,114
1881,4978,9,2,186
1882,2064,4,5,76
1883,3333,3,5,96
1884,2766,10,4,114
1885,4082,11,5,175
1886,5273,9,22,250
1887,6348,4,15,194
1888,3606,5,15,138
1889,7407,5,15,263
1890,4021,11,1,131
1891,3623,3,0,95
1892,5542,7,6,122
1893,3216,5,5,142
1894,3454,0,0,107
1895,2407,8,20,72
1896,2957,4,2,118
1897,4842,6,4,86
1898,4467,3,16,149
1899,4115,6,3,191
1900,2621,5,1,76
1901,5055,7,11,159
1903,6168,6,6,151
1904,7018,9,16,236
1905,3630,4,10,137
1906,3525,5,0,96
1907,7571,7,12,269
1908,4082,11,5,175
1909,3052,5,14,129
1910,5394,7,14,224
1911,6339,8,5,248
1912,3920,9,5,162
1913,7407,5,15,263
1914,4298,6,19,225
1917,3052,5,14,129
1918,2998,4,1,126
1919,2327,3,3,85
1920,5072,7,6,115
1922,4842,6,4,86
1923,4289,8,4,150
1924,4467,3,16,149
1925,4998,4,13,180
1926,5323,6,13,192
1927,2064,4,5,76
1929,6666,9,3,214
1931,2826,3,3,114
1933,6666,9,3,214
1934,3924,11,3,151
1935,6666,9,3,214
1936,4139,0,1,92
1937,4446,6,11,190
1938,5055,7,11,159
1939,3924,11,3,151
1940,6168,6,6,151
1941,4628,8,3,160
1942,2218,6,3,81
1943,6666,9,3,214
1944,9453,6,10,294
1945,6339,8,5,248
1946,3601,0,3,94
1947,10493,9,1,244
1948,3234,8,14,151
1949,2941,2,1,99
1950,3623,3,0,95
1951,4355,8,4,122
1952,2941,2,1,99
1953,2998,4,1,126
1954,3973,3,4,91
1956,5323,6,13,192
1957,3541,4,9,124
1959,4139,0,1,92
1960,3630,4,10,137
1961,3052,5,14,129
1962,3880,4,2,127
1963,10206,10,17,172
1964,3246,5,14,132
1965,3920,9,5,162
1966,3854,11,15,150
1967,6666,9,3,214
1969,6168,6,6,151
1970,5394,7,14,224
1971,3234,8,14,151
1972,3630,4,10,137
1973,2766,10,4,114
1974,2826,3,3,114
1975,3630,4,10,137
1976,5538,6,6,178
1977,3169,8,1,121
1978,3601,0,3,94
1980,3015,11,4,92
1981,3234,8,14,151
1982,4344,7,11,162
1983,3884,7,10,144
1984,3988,6,9,142
1985,2826,3,3,114
1986,3606,5,15,138
1987,6168,6,6,151
1988,4021,11,1,131
1989,4446,6,11,190
1990,3246,5,14,132
1991,4998,4,13,180
1992,2621,5,1,76
1993,2218,6,3,81
1994,7231,8,3,171
1995,2523,6,0,86
1996,7018,9,16,236
1998,6432,11,8,212
1999,2826,3,3,114
2000,4978,9,2,186
2001,2064,4,5,76
2002,3333,3,5,96
2003,2766,10,4,114
2004,4082,11,5,175
2005,5273,9,22,250
2006,6348,4,15,194
2007,3606,5,15,138
2008,7407,5,15,263
2009,4021,11,1,131
2010,3623,3,0,95
2011,5542,7,6,122
2012,3216,5,5,142
2013,3454,0,0,107
2014,2407,8,20,72
2015,2957,4,2,118
2016,4842,6,4,86
2017,4467,3,16,149
2018,4115,6,3,191
2019,2621,5,1,76
2020,5055,7,11,159
2022,6168,6,6,151
2023,7018,9,16,236
2024,3630,4,10,137
2025,3525,5,0,96
2026,7571,7,12,269
2027,4082,11,5,175
2028,3052,5,14,129
2029,5394,7,14,224
2030,6339,8,5,248
2031,3920,9,5,162
2032,7407,5,15,263
2033,4298,6,19,225
2036,3052,5,14,129
2037,2998,4,1,126
2038,2327,3,3,85
2039,5072,7,6,115
2041,4842,6,4,86
2042,4289,8,4,150
2043,4467,3,16,149
2044,4998,4,13,180
2045,5323,6,13,192
2046,2064,4,5,76
2048,6666,9,3,214
2050,2826,3,3,114
2052,6666,9,3,214
2053,3924,11,3,151
2054,6666,9,3,214
2055,4139,0,1,92
2056,4446,6,11,190
2057,5055,7,11,159
2058,3924,11,3,151
2059,6168,6,6,151
2060,4628,8,3,160
2061,2218,6,3,81
2062,6666,9,3,214
2063,9453,6,10,294
2064,6339,8,5,248
2065,3601,0,3,94
2066,10493,9,1,244
2067,3234,8,14,151
2068,2941,2,1,99
2069,3623,3,0,95
2070,4355,8,4,122
2071,2941,2,1,99
2072,2998,4,1,126
2073,3973,3,4,91
2075,5323,6,13,192
2076,3541,4,9,124
2078,4139,0,1,92
2079,3630,4,10,137
2080,3052,5,14,129
2081,3880,4,2,127
2082,10206,10,17,172
2083,3246,5,14,132
2084,3920,9,5,162
2085,3854,11,15,150
2086,6666,9,3,214
2088,6168,6,6,151
2089,5394,7,14,224
2090,3234,8,14,151
2091,3630,4,10,137
2092,2766,10,4,114
2093,2826,3,3,114
2094,3630,4,10,137
2095,5538,6,6,178
2096,3169,8,1,121
2097,3601,0,3,94
2099,3015,11,4,92
2100,3234,8,14,151
2101,4344,7,11,162
2102,3884,7,10,144
2103,3988,6,9,142
2104,2826,3,3,114
2105,3606,5,15,138
2106,6168,6,6,151
2107,4021,11,1,131
2108,4446,6,11,190
2109,3246,5,14,132
2110,4998,4,13,180
2111,2621,5,1,76
2112,2218,6,3,81
2113,7231,8,3,171
2114,2523,6,0,86
2115,7018,9,16,236
2117,6432,11,8,212
2118,2826,3,3,114
2119,4978,9,2,186
2120,2064,4,5,76
2121,3333,3,5,96
2122,2766,10,4,114
2123,4082,11,5,175
2124,5273,9,22,250
2125,6348,4,15,194
2126,3606,5,15,138
2127,7407,5,15,263
2128,4021,11,1,131
2129,3623,3,0,95
2130,5542,7,6,122
2131,3216,5,5,142
2132,3454,0,0,107
2133,2407,8,20,72
2134,2957,4,2,118
2135,4842,6,4,86
2136,4467,3,16,149
2137,4115,6,3,191
2138,2621,5,1,76
2139,5055,7,11,159
2141,6168,6,6,151
2142,7018,9,16,236
2143,3630,4,10,137
2144,3525,5,0,96
2145,7571,7,12,269
2146,4082,11,5,175
2147,3052,5,14,129
2148,5394,7,14,224
2149,6339,8,5,248
2150,3920,9,5,162
2151,7407,5,15,263
2152,4298,6,19,225
2155,3052,5,14,129
2156,2998,4,1,126
2157,2327,3,3,85
2158,5072,7,6,115
2160,4842,6,4,86
2161,4289,8,4,150
2162,4467,3,16,149
2163,4998,4,13,180
2164,5323,6,13,192
2165,2064,4,5,76
2167,6666,9,3,214
2169,2826,3,3,114
2171,6666,9,3,214
2172,3924,11,3,151
2173,6666,9,3,214
2174,4139,0,1,92
2175,4446,6,11,190
2176,5055,7,11,159
2177,3924,11,3,151
2178,6168,6,6,151
2179,4628,8,3,160
2180,2218,6,3,81
2181,6666,9,3,214
2182,9453,6,10,294
2183,6339,8,5,248
2184,3601,0,3,94
2185,10493,9,1,244
2186,3234,8,14,151
2187,2941,2,1,99
2188,3623,3,0,95
2189,4355,8,4,122
2190,2941,2,1,99
2191,2998,4,1,126
2192,3973,3,4,91
2194,5323,6,13,192
2195,3541,4,9,124
2197,4139,0,1,92
2198,3630,4,10,137
2199,3052,5,14,129
2200,3880,4,2,127
2201,10206,10,17,172
2202,3246,5,14,132
2203,3920,9,5,162
2204,3854,11,15,150
2205,6666,9,3,214
2207,6168,6,6,151
2208,5394,7,14,224
2209,3234,8,14,151
2210,3630,4,10,137
2211,2766,10,4,114
2212,2826,3,3,114
2213,3630,4,10,137
2214,5538,6,6,178
2215,3169,8,1,121
2216,3601,0,3,94
2218,3015,11,4,92
2219,3234,8,14,151
2220,4344,7,11,162
2221,3884,7,10,144
2222,3988,6,9,142
2223,2826,3,3,114
2224,3606,5,15,138
2225,6168,6,6,151
2226,4021,11,1,131
2227,4446,6,11,190
2228,3246,5,14,132
2229,4998,4,13,180
2230,2621,5,1,76
2231,2218,6,3,81
2232,7231,8,3,171
2233,2523,6,0,86
2234,7018,9,16,236
2236,6432,11,8,212
2237,2826,3,3,114
2238,4978,9,2,186
2239,2064,4,5,76
2240,3333,3,5,96
2241,2766,10,4,114
2242,4082,11,5,175
2243,5273,9,22,250
2244,6348,4,15,194
2245,3606,5,15,138
2246,7407,5,15,263
2247,4021,11,1,131
2248,3623,3,0,95
2249,5542,7,6,122
2250,3216,5,5,142
2251,3454,0,0,107
2252,2407,8,20,72
2253,2957,4,2,118
2254,4842,6,4,86
2255,4467,3,16,149
2256,4115,6,3,191
2257,2621,5,1,76
2258,5055,7,11,159
2260,6168,6,6,151
2261,7018,9,16,236
2262,3630,4,10,137
2263,3525,5,0,96
2264,7571,7,12,269
2265,4082,11,5,175
2266,3052,5,14,129
2267,5394,7,14,224
2268,6339,8,5,248
2269,3920,9,5,162
2270,7407,5,15,263
2271,4298,6,19,225
2274,3052,5,14,129
2275,2998,4,1,126
2276,2327,3,3,85
2277,5072,7,6,115
2279,4842,6,4,86
2280,4289,8,4,150
2281,4467,3,16,149
2282,4998,4,13,180
2283,5323,6,13,192
2284,2064,4,5,76
2286,6666,9,3,214
2288,2826,3,3,114
2290,6666,9,3,214
2291,3924,11,3,151
2292,6666,9,3,214
2293,4139,0,1,92
2294,4446,6,11,190
2295,5055,7,11,159
2296,3924,11,3,151
2297,6168,6,6,151
2298,4628,8,3,160
2299,2218,6,3,81
2300,6666,9,3,214
2301,9453,6,10,294
2302,6339,8,5,248
2303,3601,0,3,94
2304,10493,9,1,244
2305,3234,8,14,151
2306,2941,2,1,99
2307,3623,3,0,95
2308,4355,8,4,122
2309,2941,2,1,99
2310,2998,4,1,126
2311,3973,3,4,91
2313,5323,6,13,192
2314,3541,4,9,124
2316,4139,0,1,92
2317,3630,4,10,137
2318,3052,5,14,129
2319,3880,4,2,127
2320,10206,10,17,172
2321,3246,5,14,132
2322,3920,9,5,162
2323,3854,11,15,150
2324,6666,9,3,214
2326,6168,6,6,151
2327,5394,7,14,224
2328,3234,8,14,151
2329,3630,4,10,137
2330,2766,10,4,114
2331,2826,3,3,114
2332,3630,4,10,137
2333,5538,6,6,178
2334,3169,8,1,121
2335,3601,0,3,94
2337,3015,11,4,92
2338,3234,8,14,151
2339,4344,7,11,162
2340,3884,7,10,144
2341,3988,6,9,142
2342,2826,3,3,114
2343,3606,5,15,138
2344,6168,6,6,151
2345,4021,11,1,131
2346,4446,6,11,190
2347,3246,5,14,132
2348,4998,4,13,180
2349,2621,5,1,76
2350,2218,6,3,81
2351,7231,8,3,171
2352,2523,6,0,86
2353,7018,9,16,236
2355,6432,11,8,212
2356,2826,3,3,114
2357,4978,9,2,186
2358,2064,4,5,76
2359,3333,3,5,96
2360,2766,10,4,114
2361,4082,11,5,175
2362,5273,9,22,250
2363,6348,4,15,194
2364,3606,5,15,138
2365,7407,5,15,263
2366,4021,11,1,131
2367,3623,3,0,95
2368,5542,7,6,122
2369,3216,5,5,142
2370,3454,0,0,107
2371,2407,8,20,72
2372,2957,4,2,118
2373,4842,6,4,86
2374,4467,3,16,149
2375,4115,6,3,191
2376,2621,5,1,76
2377,5055,7,11,159
2379,6168,6,6,151
2380,7018,9,16,236
2381,3630,4,10,137
2382,3525,5,0,96
2383,7571,7,12,269
2384,4082,11,5,175
2385,3052,5,14,129
2386,5394,7,14,224
2387,6339,8,5,248
2388,3920,9,5,162
2389,7407,5,15,263
2390,4298,6,19,225
2393,3052,5,14,129
2394,2998,4,1,126
2395,2327,3,3,85
2396,5072,7,6,115
2398,4842,6,4,86
2399,4289,8,4,150
2400,4467,3,16,149
2401,4998,4,13,180
2402,5323,6,13,192
2403,2064,4,5,76
2405,6666,9,3,214
2407,2826,3,3,114
2409,6666,9,3,214
2410,3924,11,3,151
2411,6666,9,3,214
2412,4139,0,1,92
2413,4446,6,11,190
2414,5055,7,11,159
2415,3924,11,3,151
2416,6168,6,6,151
2417,4628,8,3,160
2418,2218,6,3,81
2419,6666,9,3,214
2420,9453,6,10,294
2421,6339,8,5,248
2422,3601,0,3,94
2423,10493,9,1,244
2424,3234,8,14,151
2425,2941,2,1,99
2426,3623,3,0,95
2427,4355,8,4,122
2428,2941,2,1,99
2429,2998,4,1,126
2430,3973,3,4,91
2432,5323,6,13,192
2433,3541,4,9,124
2435,4139,0,1,92
2436,3630,4,10,137
2437,3052,5,14,129
2438,3880,4,2,127
2439,10206,10,17,172
2440,3246,5,14,132
2441,3920,9,5,162
2442,3854,11,15,150
2443,6666,9,3,214
2445,6168,6,6,151
2446,5394,7,14,224
2447,3234,8,14,151
2448,3630,4,10,137
2449,2766,10,4,114
2450,2826,3,3,114
2451,3630,4,10,137
2452,5538,6,6,178
2453,3169,8,1,121
2454,3601,0,3,94
2456,3015,11,4,92
2457,3234,8,14,151
2458,4344,7,11,162
2459,3884,7,10,144
2460,3988,6,9,142
2461,2826,3,3,114
2462,3606,5,15,138
2463,6168,6,6,151
2464,4021,11,1,131
2465,4446,6,11,190
2466,3246,5,14,132
2467,4998,4,13,180
2468,2621,5,1,76
2469,2218,6,3,81
2470,7231,8,3,171
2471,2523,6,0,86
2472,7018,9,16,236
2474,6432,11,8,212
2475,2826,3,3,114
2476,4978,9,2,186
2477,2064,4,5,76
2478,3333,3,5,96
2479,2766,10,4,114
2480,4082,11,5,175
2481,5273,9,22,250
2482,6348,4,15,194
2483,3606,5,15,138
2484,7407,5,15,263
2485,4021,11,1,131
2486,3623,3,0,95
2487,5542,7,6,122
2488,3216,5,5,142
2489,3454,0,0,107
2490,2407,8,20,72
2491,2957,4,2,118
2492,4842,6,4,86
2493,4467,3,16,149
2494,4115,6,3,191
2495,2621,5,1,76
2496,5055,7,11,159
2498,6168,6,6,151
